customer_id,name,city,age,monthly_visits,monthly_spending,satisfaction
1,Anna,Athens,25,5,120,8
2,John,Thessaloniki,34,8,300,9
3,Maria,Patras,29,2,80,6
4,Nikos,Athens,41,10,500,10
5,Eleni,Heraklion,22,1,45,5
6,George,Larisa,38,7,250,8
7,Sophia,Athens,31,4,150,7
8,Chris,Patras,27,6,220,9
9,Katerina,Thessaloniki,45,12,700,10
10,Thomas,Athens,24,3,90,6
11,Dimitris,Volos,36,9,400,9
12,Ioanna,Patras,33,5,180,7
13,Alex,Athens,28,15,1200,10
14,Vasilis,Larisa,52,2,60,4
15,Nancy,Heraklion,26,6,210,8
