order_id,customer_name,city,age,gender,signup_date,order_date,product_category,quantity,unit_price,total_amount,payment_method,satisfaction_score
1,Maria Smith,Patras,56.0,Male,2022-04-17,2024-03-12,Clothing,4,285.46,1141.84,Cash,5
2,Maria Brown,Larisa,38.0,Female,2022-08-03,2024-11-26,Electronics,7,136.52,955.64,Card,3
3,Maria Papadopoulos,Thessaloniki,41.0,Male,2023-10-26,2024-05-10,Books,5,182.33,911.65,Cash,5
4,Dimitris Taylor,Thessaloniki,19.0,Female,2023-01-21,2024-07-10,Books,4,281.87,1127.48,Bank Transfer,4
5,John Johnson,Heraklion,38.0,Female,2022-01-22,2024-09-09,Home,1,94.75,94.75,Cash,4
6,George Wilson,Athens,42.0,Male,2023-05-26,2024-06-18,Sports,1,159.81,159.81,Card,4
7,Eleni Wilson,Larisa,33.0,Female,2023-11-18,2024-02-20,Electronics,7,139.54,976.78,Paypal,4
8,Dimitris Brown,Heraklion,72.0,Male,2022-05-11,2024-11-02,Books,4,179.76,719.04,Bank Transfer,5
9,Helen Wilson,Larisa,26.0,Male,2023-08-24,2024-11-11,Electronics,7,8.91,62.37,Card,2
10,George Nikolaou,Athens,26.0,Male,2022-12-06,2024-04-01,Electronics,2,33.81,67.62,Paypal,4
11,Nikos Anderson,Patras,24.0,Male,2024-07-31,2024-02-04,Home,4,151.08,604.32,Bank Transfer,1
12,George Nikolaou,Athens,53.0,Male,2022-01-02,2024-02-23,Books,2,200.44,400.88,Cash,2
13,Anna Anderson,Heraklion,,Female,2023-02-06,2024-08-05,Books,6,14.24,85.44,Cash,4
14,Eleni Smith,Thessaloniki,51.0,Male,2022-09-27,2024-12-16,Home,2,268.97,537.94,Paypal,4
15,Nikos Brown,Thessaloniki,74.0,Female,2023-12-21,2024-08-24,Clothing,6,100.97,605.82,Paypal,2
16,Chris Anderson,Thessaloniki,64.0,Female,2022-08-05,2024-09-08,Clothing,5,178.09,890.45,Cash,4
17,Dimitris Nikolaou,Larisa,62.0,Female,2024-03-23,2024-03-05,Books,1,92.4,92.4,Paypal,1
18,Eleni Papadopoulos,Thessaloniki,24.0,Female,2023-10-10,2024-03-03,Electronics,1,232.81,232.81,,3
19,Maria Johnson,thessaloniki,68.0,Female,2023-02-23,2024-10-15,Books,1,214.85,214.85,Card,3
20,Chris Taylor,Larisa,22.0,Female,2022-02-10,2024-01-28,Books,2,110.75,221.5,Bank Transfer,1
21,Dimitris Smith,Athens,25.0,Female,2022-02-17,2024-03-02,Home,4,102.61,410.44,Card,5
22,Nikos Taylor,Thessaloniki,,Female,2024-09-13,2024-02-04,Electronics,4,193.08,772.32,Bank Transfer,1
23,Dimitris Johnson,Larisa,52.0,Male,2023-10-05,2024-09-13,Home,5,291.66,1458.3,,5
24,Anna Wilson,Thessaloniki,43.0,Male,2024-05-20,2024-10-09,Books,7,232.44,1627.08,Bank Transfer,1
25,Sophia Smith,Athens,32.0,Female,2024-06-10,2024-06-27,Home,7,37.71,263.97,Cash,1
26,John Papadopoulos,Larisa,69.0,M,2024-01-04,2024-08-18,Electronics,5,155.03,775.15,Paypal,5
27,Maria Johnson,Thessaloniki,32.0,Female,2023-06-09,2024-06-08,Books,3,64.9,194.7,Cash,3
28,Nikos Taylor,Thessaloniki,68.0,Male,2023-11-13,2024-02-14,Home,6,264.74,1588.44,Paypal,1
29,Eleni Anderson,Larisa,70.0,Female,2023-09-12,2024-02-13,Electronics,6,139.68,838.08,Cash,4
30,George Brown,Patras,47.0,Male,2023-05-21,2024-12-13,Books,6,164.11,984.66,Cash,1
31,Helen Papadopoulos,Athens,56.0,Male,2023-01-12,2024-10-09,Electronics,6,37.47,224.82,Cash,1
32,Maria Smith,Patras,69.0,Male,2022-12-25,2024-07-16,Books,5,258.92,1294.6,Cash,3
33,Nikos Anderson,Thessaloniki,26.0,Male,2024-03-29,2024-08-21,Books,6,70.52,423.12,Paypal,4
34,George Anderson,Heraklion,41.0,male,2023-11-03,2024-04-05,Electronics,7,54.65,382.55,Card,1
35,Chris Wilson,Heraklion,69.0,Female,2023-03-18,2024-02-21,Sports,1,24.14,24.14,Card,4
36,Maria Smith,Heraklion,56.0,Female,2023-09-05,2024-04-22,Electronics,2,215.12,430.24,Cash,1
37,George Papadopoulos,Larisa,66.0,Female,2023-07-20,2024-12-08,Clothing,2,153.29,306.58,Paypal,5
38,Anna Nikolaou,Heraklion,49.0,Male,2023-09-30,2024-05-09,Electronics,1,192.13,192.13,Paypal,5
39,Dimitris Brown,Athens,61.0,Male,2023-02-20,2024-09-03,Electronics,2,295.77,591.54,Cash,4
40,Anna Taylor,Heraklion,72.0,Female,2023-02-05,2024-09-11,Clothing,3,114.05,342.15,Paypal,5
41,John Johnson,Athens ,69.0,Male,2024-06-25,2024-08-27,Sports,2,191.89,383.78,Bank Transfer,1
42,Sophia Nikolaou,Heraklion,26.0,female,2023-04-09,2024-12-14,Clothing,4,154.92,619.68,Cash,3
43,Nikos Papadopoulos,Athens,37.0,Male,2023-02-07,2024-12-11,Home,4,204.88,819.52,Card,3
44,John Anderson,Larisa,36.0,Male,2024-03-30,2024-05-07,Electronics,4,195.33,781.32,Card,2
45,Anna Brown,Larisa,57.0,Male,2024-08-10,2024-05-30,Clothing,1,204.33,204.33,Paypal,2
46,Maria Papadopoulos,Larisa,52.0,Male,2022-12-12,2024-04-21,Books,7,199.7,1397.9,Card,1
47,Chris Wilson,Patras,69.0,Male,2024-06-15,2024-10-30,Home,4,81.94,327.76,Cash,4
48,Nikos Taylor,Thessaloniki,22.0,Female,2022-01-09,2024-08-20,Sports,5,265.38,1326.9,Bank Transfer,3
49,Maria Smith,Heraklion,36.0,Male,2022-02-23,2024-04-29,Electronics,3,257.62,772.86,Cash,1
50,Dimitris Nikolaou,Thessaloniki,41.0,Female,2024-08-25,2024-04-13,Electronics,4,29.82,119.28,Cash,4
51,Eleni Nikolaou,Thessaloniki,52.0,Female,2022-06-02,2024-12-14,Books,6,282.34,1694.04,Bank Transfer,2
52,Helen Smith,Larisa,63.0,Female,2022-06-12,2024-07-26,Electronics,2,148.26,296.52,Cash,5
53,Nikos Brown,Athens,58.0,Male,2024-03-11,2024-10-03,Home,4,215.09,860.36,Bank Transfer,4
54,Helen Papadopoulos,Patras,73.0,Male,2023-10-02,2024-02-02,Home,7,217.68,1523.76,Paypal,4
55,Nikos Smith,Athens,68.0,Female,2024-01-20,2024-06-06,Home,6,83.23,499.38,Card,5
56,John Wilson,Thessaloniki,68.0,Female,2022-01-27,2024-08-13,Clothing,6,272.3,1633.8,Paypal,5
57,Dimitris Taylor,Larisa,47.0,Male,2024-08-17,2024-11-12,Electronics,1,175.19,175.19,Card,3
58,Anna Smith,Patras,21.0,Male,2023-05-27,2024-01-17,Sports,3,231.72,695.16,Cash,4
59,John Nikolaou,Patras,45.0,Male,2023-01-08,2024-01-06,Home,6,286.41,1718.46,Cash,3
60,George Brown,Patras,58.0,Female,2023-05-12,2024-10-28,Books,5,278.85,1394.25,Cash,5
61,George Johnson,Thessaloniki,48.0,Female,2022-04-26,2024-07-09,Electronics,3,294.2,882.6,Cash,5
62,Eleni Taylor,Thessaloniki,38.0,Female,2022-11-19,2024-05-07,Clothing,7,84.2,589.4,Card,2
63,Chris Smith,Heraklion,42.0,Male,2023-07-24,2024-11-18,Clothing,2,281.17,562.34,Paypal,2
64,Eleni Nikolaou,Thessaloniki,49.0,Male,2024-08-19,2024-05-06,Electronics,7,297.07,2079.49,Cash,3
65,Chris Wilson,Patras,59.0,Male,2022-04-14,2024-10-25,Home,2,100.15,200.3,Bank Transfer,5
66,Dimitris Taylor,ATHENS,59.0,Female,2024-03-28,2024-01-13,Electronics,7,128.84,901.88,Card,4
67,Nikos Johnson,Larisa,24.0,Female,2022-01-20,2024-11-16,Electronics,1,190.23,190.23,,4
68,Helen Taylor,Patras,68.0,Female,2022-12-20,2024-11-17,Sports,7,13.15,92.05,Card,3
69,Chris Papadopoulos,Patras,,Male,2022-05-05,2024-05-29,Sports,2,165.08,330.16,Card,2
70,Dimitris Papadopoulos,Athens ,39.0,Female,2024-04-17,2024-09-27,Electronics,1,16.02,16.02,Bank Transfer,3
71,Helen Wilson,Athens,,Female,2023-07-26,2024-04-17,Books,1,249.22,249.22,Bank Transfer,5
72,Chris Wilson,Heraklion,56.0,Female,2024-09-18,2024-12-15,Books,4,253.4,1013.6,Cash,3
