,Name,Subject,Grade,Score
0,John,Physical Education,D,57
1,John,Art,C,62
2,John,Math,F,6
3,John,English,B,75
4,John,Geography,C,66
5,John,History,F,13
6,John,Science,A,88
7,Mary,Math,C,66
8,Mary,Physical Education,F,37
9,Mary,Geography,F,11
10,Mary,English,D,56
11,Mary,Art,C,68
12,Mary,History,C,60
13,Mary,Music,B,72
14,Joe,Science,B,79
15,Joe,Music,B,70
16,Joe,Physical Education,B,77
17,Joe,Math,C,60
18,Joe,Art,A,91
19,Joe,English,A,91
20,Joe,History,B,72
21,Mike,History,D,59
22,Mike,Music,B,75
23,Mike,Art,F,16
24,Mike,English,A,91
25,Mike,Science,B,72
26,Mike,Math,B,75
27,Sara,English,C,69
28,Sara,Physical Education,A,85
29,Sara,Music,C,68
30,Sara,Science,B,72
31,Peter,Math,B,79
32,Peter,Music,B,79
33,Peter,Geography,F,28
34,Peter,Physical Education,C,63
35,Peter,English,D,57
36,Peter,History,F,6
37,Amy,Science,F,3
38,Amy,English,B,72
39,Amy,Geography,C,61
40,Amy,Physical Education,C,61
41,Tom,Physical Education,F,15
42,Tom,Music,B,76
43,Tom,Art,B,79
44,Tom,Science,B,75
45,Tom,Geography,C,65
46,Tom,Math,C,68
47,Lisa,Math,B,71
48,Lisa,Art,B,74
49,Lisa,Music,A,88
50,Lisa,Geography,A,85
51,Lisa,History,C,65
52,Lisa,English,A,81
53,Lisa,Science,C,61
54,Dan,Geography,F,6
55,Dan,Art,B,71
56,Dan,Science,B,75
57,Dan,Math,F,20
58,Dan,Music,B,70
59,Dan,History,A,95
60,Dan,English,B,79
61,Dan,Physical Education,B,74
